"","state","week_start","tmean_week_C","tmean_week_F"
"4717","Illinois",2024-03-18,4.21428571428571,39.5857142857143
"4718","Illinois",2024-03-25,10.3714285714286,50.6685714285714
"4719","Illinois",2024-04-01,8.14285714285714,46.6571428571429
"4720","Illinois",2024-04-08,14.8285714285714,58.6914285714286
"4721","Illinois",2024-04-15,13.9428571428571,57.0971428571429
"4722","Illinois",2024-04-22,14.3571428571429,57.8428571428571
"4723","Illinois",2024-04-29,18.5714285714286,65.4285714285714
"4724","Illinois",2024-05-06,18.3285714285714,64.9914285714286
"4725","Illinois",2024-05-13,19.6,67.28
"4726","Illinois",2024-05-20,21.3428571428571,70.4171428571429
"4727","Illinois",2024-05-27,19.0571428571429,66.3028571428571
"4728","Illinois",2024-06-03,22.0714285714286,71.7285714285714
"4729","Illinois",2024-06-10,22.8857142857143,73.1942857142857
"4730","Illinois",2024-06-17,27.1857142857143,80.9342857142857
"4731","Illinois",2024-06-24,24.7571428571429,76.5628571428571
"4732","Illinois",2024-07-01,23.1857142857143,73.7342857142857
"4733","Illinois",2024-07-08,23.9857142857143,75.1742857142857
"4734","Illinois",2024-07-15,22.6714285714286,72.8085714285714
"4735","Illinois",2024-07-22,23.3285714285714,73.9914285714286
"4736","Illinois",2024-07-29,25.8714285714286,78.5685714285714
"4737","Illinois",2024-08-05,22.4428571428571,72.3971428571429
"4738","Illinois",2024-08-12,22.8571428571429,73.1428571428571
"4739","Illinois",2024-08-19,21.1428571428571,70.0571428571428
"4740","Illinois",2024-08-26,25.3857142857143,77.6942857142857
"4741","Illinois",2024-09-02,18.5285714285714,65.3514285714286
"4742","Illinois",2024-09-09,20.7,69.26
"4743","Illinois",2024-09-16,22.8,73.04
"4744","Illinois",2024-09-23,19.0571428571429,66.3028571428571
"4745","Illinois",2024-09-30,18.1,64.58
"4746","Illinois",2024-10-07,16.1,60.98
"4747","Illinois",2024-10-14,10.6,51.08
"4748","Illinois",2024-10-21,13.4,56.12
"4749","Illinois",2024-10-28,15.5,59.9
"4750","Illinois",2024-11-04,12.5142857142857,54.5257142857143
"4751","Illinois",2024-11-11,9.25714285714286,48.6628571428571
"4752","Illinois",2024-11-18,8.71428571428572,47.6857142857143
"4753","Illinois",2024-11-25,0.414285714285714,32.7457142857143
"4754","Illinois",2024-12-02,-1.05714285714286,30.0971428571429
"4755","Illinois",2024-12-09,0.157142857142857,32.2828571428571
"4756","Illinois",2024-12-16,1.75714285714286,35.1628571428571
"4757","Illinois",2024-12-23,7.04285714285714,44.6771428571429
"4758","Illinois",2024-12-30,5.4,41.72
"4759","Indiana",2018-01-01,-15.8285714285714,3.50857142857143
"4760","Indiana",2018-01-08,0.0285714285714285,32.0514285714286
"4761","Indiana",2018-01-15,-4.7,23.54
"4762","Indiana",2018-01-22,3.55714285714286,38.4028571428571
"4763","Indiana",2018-01-29,-1.94285714285714,28.5028571428571
"4764","Indiana",2018-02-05,-3.08571428571429,26.4457142857143
"4765","Indiana",2018-02-12,3.2,37.76
"4766","Indiana",2018-02-19,9.74285714285714,49.5371428571429
"4767","Indiana",2018-02-26,5.8,42.44
"4768","Indiana",2018-03-05,1.12857142857143,34.0314285714286
"4769","Indiana",2018-03-12,1.62857142857143,34.9314285714286
"4770","Indiana",2018-03-19,1.98571428571429,35.5742857142857
"4771","Indiana",2018-03-26,7.55714285714286,45.6028571428571
"4772","Indiana",2018-04-02,3.44285714285714,38.1971428571429
"4773","Indiana",2018-04-09,10.8714285714286,51.5685714285714
"4774","Indiana",2018-04-16,6.5,43.7
"4775","Indiana",2018-04-23,10.4571428571429,50.8228571428571
"4776","Indiana",2018-04-30,17.9857142857143,64.3742857142857
"4777","Indiana",2018-05-07,20.0571428571429,68.1028571428571
"4778","Indiana",2018-05-14,21.7571428571429,71.1628571428571
"4779","Indiana",2018-05-21,22.3714285714286,72.2685714285714
"4780","Indiana",2018-05-28,24.3142857142857,75.7657142857143
"4781","Indiana",2018-06-04,22.4142857142857,72.3457142857143
